Usuario,Importe,Operacion,Categoria,Descripcion,Adjunto,Creacion,Fecha_operacion
Luchita,15,Gasto,Recojo de chifles,Recojo de chifles,https://res.cloudinary.com/gscloudinary/image/upload/v1674868531/conta-fam/dc0aaksrdsed3tx0qnsm.jpg,"January 27, 2023 8:15 PM","January 16, 2023"
Juanito,33,Ingreso,Otros,De Patsy,https://res.cloudinary.com/gscloudinary/image/upload/v1674614036/conta-fam/rkuncxdsiw1tnfwiohsz.jpg,"January 24, 2023 9:33 PM","January 15, 2023"
Luchita,423,Gasto,Compra a Keylita,"Pedido a Keylita ",https://res.cloudinary.com/gscloudinary/image/upload/v1674867954/conta-fam/wqb9gbpmbkgpjo1vmeej.jpg,"January 27, 2023 8:05 PM","January 12, 2023"
Luchita,405.2,Ingreso,Otros,"Devolución de préstamo ",https://res.cloudinary.com/gscloudinary/image/upload/v1673406375/conta-fam/o21llevphc6uggsbu6fs.jpg,"January 10, 2023 10:06 PM","January 10, 2023"
Juanito,292.76,Ingreso,SENASA,Transferencia bcp,https://res.cloudinary.com/gscloudinary/image/upload/v1673533353/conta-fam/sgklxyvq5azvim8mj7ip.jpg,"January 12, 2023 9:22 AM","January 9, 2023"
Luchita,29,Ingreso,Familiares,Marita pagó  pedido,https://res.cloudinary.com/gscloudinary/image/upload/v1673406090/conta-fam/wqs8jpxdcjji1dnlu7ui.jpg,"January 10, 2023 10:01 PM","January 3, 2023"
Juanito,146.38,Ingreso,SENASA,"Pago Senasa ",https://res.cloudinary.com/gscloudinary/image/upload/v1672172034/conta-fam/ry4thpktafpqxgh4y5pu.jpg,"December 27, 2022 3:13 PM","December 27, 2022"
Luchita,423,Gasto,Compra a Keylita,Pedido,https://res.cloudinary.com/gscloudinary/image/upload/v1674870314/conta-fam/ufmaeydg5ln8ovoeajns.jpg,"January 27, 2023 8:45 PM","December 26, 2022"
Luchita,250,Gasto,Otros,Pago de reparación aire acondicionado de camioneta,https://res.cloudinary.com/gscloudinary/image/upload/v1672108752/conta-fam/th4qdwc6ups7kerjf9cq.jpg,"December 26, 2022 9:39 PM","December 26, 2022"
Luchita,25.8,Gasto,Otros,"Se devolvió a Claudia 25.80 delivery Raulín ",https://res.cloudinary.com/gscloudinary/image/upload/v1672108629/conta-fam/wb42fmympu9gwzchefo8.jpg,"December 26, 2022 9:37 PM","December 26, 2022"
Luchita,15,Gasto,Recojo de chifles,Recojo de chifles,,"December 26, 2022 9:44 PM","December 23, 2022"
Luchita,46,Ingreso,Familiares,Incluido pago x delivery 25.80 (Prestó Claudia),https://res.cloudinary.com/gscloudinary/image/upload/v1672108574/conta-fam/hy8jrovruaycze1ezqzx.jpg,"December 26, 2022 9:36 PM","December 23, 2022"
Luchita,30,Gasto,Materiales,"3 paquetes de bolsas ",https://res.cloudinary.com/gscloudinary/image/upload/v1671743480/conta-fam/ofdi02wlohtzpeh42fjn.jpg,"December 22, 2022 4:11 PM","December 22, 2022"
Luchita,441,Gasto,Compra a Keylita,"Pago a Keylita ",https://res.cloudinary.com/gscloudinary/image/upload/v1672109225/conta-fam/pexmz3yf9nrhir6bk474.jpg,"December 26, 2022 9:47 PM","December 21, 2022"
Luchita,292.76,Ingreso,SENASA,Pagó 20/12,https://res.cloudinary.com/gscloudinary/image/upload/v1671769152/conta-fam/frav82ubkeewywtm7re6.jpg,"December 22, 2022 11:19 PM","December 20, 2022"
Luchita,483.5,Ingreso,Trabajo Lucha,Saldado hasta hoy,https://res.cloudinary.com/gscloudinary/image/upload/v1671156980/conta-fam/cnmlmge34pahrgjfoqch.jpg,"December 15, 2022 9:16 PM","December 15, 2022"
Juanito,292.7,Ingreso,SENASA,Transferencia Interbank,https://res.cloudinary.com/gscloudinary/image/upload/v1670873423/conta-fam/scancxrvmey8unmfixsm.jpg,"December 12, 2022 2:30 PM","December 12, 2022"
Luchita,30,Ingreso,Otros,Pedido cruceta,https://res.cloudinary.com/gscloudinary/image/upload/v1670387409/conta-fam/mu9gho4g9yejych6qyhm.jpg,"December 6, 2022 11:30 PM","December 6, 2022"
Luchita,15,Gasto,Recojo de chifles,Recojo  de chifles,https://res.cloudinary.com/gscloudinary/image/upload/v1670387789/conta-fam/uvregha7e4lr6j3oxser.jpg,"December 6, 2022 11:36 PM","December 2, 2022"
Juanito,213.4,Ingreso,SENASA,"Pago de Senasa ",https://res.cloudinary.com/gscloudinary/image/upload/v1670022185/conta-fam/axkysxicgfzmx1yetxhc.jpg,"December 2, 2022 6:03 PM","November 30, 2022"
Juanito,35.4,Ingreso,Otros,"Pago del Británico ",https://res.cloudinary.com/gscloudinary/image/upload/v1670022115/conta-fam/vzhi6r67jf4v0hn0kedd.jpg,"December 2, 2022 6:01 PM","November 29, 2022"
Juanito,29,Ingreso,Familiares,Pedido de Mirtha,,"December 2, 2022 6:00 PM","November 29, 2022"
